File                All Objects Within Room Bounds  Objects Not Overlap  Overall Layout Quality  Functionality of the Layout  Ergonomic Placements  Readiness to Pay     Final Grade          
71_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.3                   0.0                  0.5                  
72_evaluation.txt   1.0                             1.0                  0.2                     0.1                          0.3                   0.0                  0.433                
73_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.3                  0.6                  
74_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.4                   0.0                  0.517                
75_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.0                  0.533                
76_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.0                  0.533                
77_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.0                  0.533                
78_evaluation.txt   1.0                             1.0                  0.8                     0.75                         0.7                   0.6                  0.808                
79_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.3                   0.0                  0.467                
80_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.5                   0.0                  0.533                
81_evaluation.txt   1.0                             1.0                  0.5                     0.3                          0.4                   0.0                  0.533                
82_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.2                   0.0                  0.45                 
83_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.4                   0.0                  0.483                
84_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.5                   0.0                  0.533                
86_evaluation.txt   1.0                             1.0                  0.85                    0.9                          0.8                   1.0                  0.925                
87_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.0                  0.55                 
88_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.0                  0.533                
89_evaluation.txt   1.0                             1.0                  0.4                     0.3                          0.5                   0.0                  0.533                
90_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.3                   0.0                  0.533                
92_evaluation.txt   1.0                             1.0                  0.7                     0.6                          0.8                   0.4                  0.75                 
93_evaluation.txt   1.0                             1.0                  0.2                     0.1                          0.2                   0.0                  0.417                
94_evaluation.txt   1.0                             1.0                  0.3                     0.4                          0.4                   0.0                  0.517                
95_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.2                  0.583                
96_evaluation.txt   1.0                             1.0                  0.4                     0.5                          0.4                   0.0                  0.55                 
97_evaluation.txt   1.0                             1.0                  0.3                     0.2                          0.3                   0.0                  0.467                
98_evaluation.txt   1.0                             1.0                  0.6                     0.5                          0.6                   0.3                  0.667                
99_evaluation.txt   1.0                             1.0                  0.4                     0.6                          0.5                   0.0                  0.583                
100_evaluation.txt  1.0                             1.0                  0.4                     0.3                          0.3                   0.0                  0.5                  
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
AVERAGE             1.0                             0.999                0.44                    0.459                        0.431                 0.145                0.579                
